category_name,location,object_code,serial_number
Skydio X2d GCS,RIC,,
SunSight AAT30,RIC,,
Switch- 16 port,RIC,,
Switch- 16 port,RIC,,
Switch- 5 port,RIC,,
Switch- 5 port,RIC,,
Switch- 8 port,RIC,,
Switch- 8 port,RIC,,
Switch- 8 port,RIC,,
Tape Measures,RIC,,
Tape Measures,RIC,,
Tow Strap,RIC,,
Weather Station,RIC,,
,,,
,,,
,,,
,,,
,,,
Kubota Skid-Steer - Bucket,OTA,setyl.it/8LCFFD,
,,,
,,,
,,,
,,,
,,,
GoalZero Yeti Batteries (#1-4),,,
